date,home_fm,away_fm,xg_home,xg_away,score,team_home,team_away,match_id
2021-03-24,Portugal,Azerbaijan,2.07,0.19,1 - 0,Portugal,Azerbaijan,3495148
2021-03-24,Serbia,Ireland,1.41,0.68,3 - 2,Serbia,Republic of Ireland,3495149
2021-03-24,Finland,Bosnia and Herzegovina,2.25,2.86,2 - 2,Finland,Bosnia and Herzegovina,3495208
2021-03-24,France,Ukraine,1.71,0.16,1 - 1,France,Ukraine,3495209
2021-03-24,Belgium,Wales,2.24,0.79,3 - 1,Belgium,Wales,3495228
2021-03-24,Estonia,Czechia,0.77,2.86,2 - 6,Estonia,Czech Republic,3495229
2021-03-24,Turkiye,Netherlands,1.15,2.6,4 - 2,Turkey,Netherlands,3495286
2021-03-24,Gibraltar,Norway,0.06,3.84,0 - 3,Gibraltar,Norway,3495284
2021-03-24,Slovenia,Croatia,0.55,0.6,1 - 0,Slovenia,Croatia,3495316
2021-03-25,Spain,Greece,0.98,0.79,1 - 1,Spain,Greece,3495168
2021-03-25,Sweden,Georgia,0.98,1.05,1 - 0,Sweden,Georgia,3495169
2021-03-25,Bulgaria,Switzerland,0.36,2.98,1 - 3,Bulgaria,Switzerland,3495188
2021-03-25,Israel,Denmark,0.65,1.27,0 - 2,Israel,Denmark,3495251
2021-03-25,Scotland,Austria,0.95,0.9,2 - 2,Scotland,Austria,3495253
2021-03-25,England,San Marino,4.96,0.06,5 - 0,England,San Marino,3495345
2021-03-25,Hungary,Poland,3.08,0.92,3 - 3,Hungary,Poland,3495346
2021-03-25,Germany,Iceland,0.94,0.57,3 - 0,Germany,Iceland,3495374
2021-03-27,Serbia,Portugal,1.76,1.62,2 - 2,Serbia,Portugal,3495151
2021-03-27,Czechia,Belgium,0.9,0.99,1 - 1,Czech Republic,Belgium,3495231
2021-03-27,Netherlands,Latvia,6.44,0.35,2 - 0,Netherlands,Latvia,3495289
2021-03-27,Norway,Turkiye,0.91,1.13,0 - 3,Norway,Turkey,3495288
2021-03-27,Croatia,Cyprus,1.5,0.12,1 - 0,Croatia,Cyprus,3495318
2021-03-28,Georgia,Spain,0.26,1.14,1 - 2,Georgia,Spain,3495170
2021-03-28,Kosovo,Sweden,0.63,3.78,0 - 3,Kosovo,Sweden,3495171
2021-03-28,Switzerland,Lithuania,2.07,0.13,1 - 0,Switzerland,Lithuania,3495191
2021-03-28,Kazakhstan,France,0.13,2.99,0 - 2,Kazakhstan,France,3495210
2021-03-28,Denmark,Moldova,3.78,0.18,8 - 0,Denmark,Moldova,3495254
2021-03-28,Austria,Faroe Islands,4.31,0.94,3 - 1,Austria,Faroe Islands,3495255
2021-03-28,Israel,Scotland,0.64,0.68,1 - 1,Israel,Scotland,3495256
2021-03-28,Albania,England,0.39,1.74,0 - 2,Albania,England,3495347
2021-03-28,Poland,Andorra,3.43,0.07,3 - 0,Poland,Andorra,3495348
2021-03-28,Romania,Germany,1.13,2.84,0 - 1,Romania,Germany,3495379
2021-03-30,Azerbaijan,Serbia,1.67,1.19,1 - 2,Azerbaijan,Serbia,3495152
2021-03-30,Luxembourg,Portugal,0.52,2.63,1 - 3,Luxembourg,Portugal,3495153
2021-03-30,Belgium,Belarus,4.2,0.17,8 - 0,Belgium,Belarus,3495232
2021-03-30,Wales,Czechia,1.07,0.86,1 - 0,Wales,Czech Republic,3495233
2021-03-30,Gibraltar,Netherlands,0.0,7.49,0 - 7,Gibraltar,Netherlands,3495290
2021-03-30,Montenegro,Norway,0.98,1.36,0 - 1,Montenegro,Norway,3495291
2021-03-30,Turkiye,Latvia,2.09,1.38,3 - 3,Turkey,Latvia,3495292
2021-03-30,Croatia,Malta,2.99,0.16,3 - 0,Croatia,Malta,3495320
2021-03-31,Spain,Kosovo,2.32,0.49,3 - 1,Spain,Kosovo,3495173
2021-03-31,Bosnia and Herzegovina,France,0.61,1.17,0 - 1,Bosnia and Herzegovina,France,3495212
2021-03-31,Austria,Denmark,0.22,2.06,0 - 4,Austria,Denmark,3495257
2021-03-31,Scotland,Faroe Islands,0.95,0.61,4 - 0,Scotland,Faroe Islands,3495259
2021-03-31,England,Poland,1.35,0.55,2 - 1,England,Poland,3495351
2021-03-31,Germany,North Macedonia,1.74,1.03,1 - 2,Germany,North Macedonia,3495381
2021-06-11,Türkiye,Italy,0.19,1.58,0 - 3,Turkey,Italy,3230637
2021-06-12,Wales,Switzerland,0.47,1.53,1 - 1,Wales,Switzerland,3230638
2021-06-12,Denmark,Finland,0.99,0.23,0 - 1,Denmark,Finland,3230643
2021-06-12,Belgium,Russia,1.22,0.25,3 - 0,Belgium,Russia,3230644
2021-06-13,England,Croatia,0.74,0.52,1 - 0,England,Croatia,3230655
2021-06-13,Austria,North Macedonia,1.47,0.79,3 - 1,Austria,North Macedonia,3230650
2021-06-13,Netherlands,Ukraine,1.38,0.48,3 - 2,Netherlands,Ukraine,3230649
2021-06-14,Scotland,Czechia,2.17,0.81,0 - 2,Scotland,Czech Republic,3230656
2021-06-14,Poland,Slovakia,1.66,0.36,1 - 2,Poland,Slovakia,3230662
2021-06-14,Spain,Sweden,2.08,0.82,0 - 0,Spain,Sweden,3230661
2021-06-15,Hungary,Portugal,0.19,1.96,0 - 3,Hungary,Portugal,3230667
2021-06-15,France,Germany,0.4,0.77,1 - 0,France,Germany,3230668
2021-06-16,Türkiye,Wales,1.03,2.3,0 - 2,Turkey,Wales,3230639
2021-06-16,Italy,Switzerland,1.98,0.21,3 - 0,Italy,Switzerland,3230640
2021-06-17,Netherlands,Austria,2.22,0.38,2 - 0,Netherlands,Austria,3230651
2021-06-17,Denmark,Belgium,1.26,1.42,1 - 2,Denmark,Belgium,3230645
2021-06-18,Sweden,Slovakia,0.89,0.5,1 - 0,Sweden,Slovakia,3230664
2021-06-18,Croatia,Czechia,0.99,0.9,1 - 1,Croatia,Czech Republic,3230658
2021-06-18,England,Scotland,1.14,0.96,0 - 0,England,Scotland,3230657
2021-06-19,Hungary,France,0.35,1.81,1 - 1,Hungary,France,3230669
2021-06-19,Portugal,Germany,2.09,2.57,2 - 4,Portugal,Germany,3230670
2021-06-19,Spain,Poland,1.91,0.76,1 - 1,Spain,Poland,3230663
2021-06-20,Italy,Wales,1.55,0.35,1 - 0,Italy,Wales,3230642
2021-06-20,Switzerland,Türkiye,2.22,0.81,3 - 1,Switzerland,Turkey,3230641
2021-06-21,North Macedonia,Netherlands,0.74,2.66,0 - 3,North Macedonia,Netherlands,3230653
2021-06-21,Ukraine,Austria,0.22,1.4,0 - 1,Ukraine,Austria,3230654
2021-06-21,Finland,Belgium,0.28,1.34,0 - 2,Finland,Belgium,3230648
2021-06-21,Russia,Denmark,0.28,2.23,1 - 4,Russia,Denmark,3230647
2021-06-22,Croatia,Scotland,0.64,1.27,3 - 1,Croatia,Scotland,3230660
2021-06-22,Czechia,England,0.33,0.61,0 - 1,Czech Republic,England,3230659
2021-06-23,Slovakia,Spain,0.12,2.58,0 - 5,Slovakia,Spain,3230665
2021-06-23,Sweden,Poland,1.06,2.03,3 - 2,Sweden,Poland,3230666
2021-06-23,Germany,Hungary,1.8,0.59,2 - 2,Germany,Hungary,3230671
2021-06-23,Portugal,France,0.42,0.88,2 - 2,Portugal,France,3230672
2021-06-26,Wales,Denmark,0.75,2.04,0 - 4,Wales,Denmark,2767769
2021-06-26,Italy,Austria,1.43,0.76,2 - 1,Italy,Austria,2767768
2021-06-27,Netherlands,Czechia,0.87,1.02,0 - 2,Netherlands,Czech Republic,2767771
2021-06-27,Belgium,Portugal,0.24,1.34,1 - 0,Belgium,Portugal,2767770
2021-06-28,Croatia,Spain,2.54,3.17,3 - 5,Croatia,Spain,2767772
2021-06-28,France,Switzerland,3.11,1.43,3 - 3,France,Switzerland,2767773
2021-06-29,England,Germany,1.09,1.17,2 - 0,England,Germany,2767775
2021-06-29,Sweden,Ukraine,1.28,1.36,1 - 2,Sweden,Ukraine,2767774
2021-07-02,Switzerland,Spain,0.69,3.43,1 - 1,Switzerland,Spain,2767865
2021-07-02,Belgium,Italy,0.78,1.55,1 - 2,Belgium,Italy,2767866
2021-07-03,Czechia,Denmark,1.11,1.45,1 - 2,Czech Republic,Denmark,2767867
2021-07-03,Ukraine,England,0.19,1.41,0 - 4,Ukraine,England,2767868
2021-07-06,Italy,Spain,0.56,1.62,1 - 1,Italy,Spain,2767870
2021-07-07,England,Denmark,2.08,0.24,2 - 1,England,Denmark,2767871
2021-07-11,Italy,England,1.98,0.4,1 - 1,Italy,England,2767869
2021-09-01,Portugal,Ireland,2.94,0.66,2 - 1,Portugal,Republic of Ireland,3495155
2021-09-01,France,Bosnia and Herzegovina,0.45,0.31,1 - 1,France,Bosnia and Herzegovina,3495215
2021-09-01,Denmark,Scotland,1.67,0.59,2 - 0,Denmark,Scotland,3495260
2021-09-01,Moldova,Austria,0.19,1.59,0 - 2,Moldova,Austria,3495262
2021-09-01,Norway,Netherlands,0.88,2.26,1 - 1,Norway,Netherlands,3495294
2021-09-01,Türkiye,Montenegro,1.53,0.85,2 - 2,Turkey,Montenegro,3495295
2021-09-01,Russia,Croatia,0.44,0.86,0 - 0,Russia,Croatia,3495324
2021-09-02,Sweden,Spain,0.45,2.09,2 - 1,Sweden,Spain,3495175
2021-09-02,Czechia,Belarus,1.92,0.24,1 - 0,Czech Republic,Belarus,3495234
2021-09-02,Estonia,Belgium,1.3,3.73,2 - 5,Estonia,Belgium,3495235
2021-09-02,Hungary,England,0.24,3.22,0 - 4,Hungary,England,3495354
2021-09-02,Poland,Albania,1.81,0.51,4 - 1,Poland,Albania,3495355
2021-09-02,Liechtenstein,Germany,0.05,2.81,0 - 2,Liechtenstein,Germany,3495384
2021-09-04,Serbia,Luxembourg,3.65,0.42,4 - 1,Serbia,Luxembourg,3495157
2021-09-04,Ukraine,France,1.01,2.19,1 - 1,Ukraine,France,3495217
2021-09-04,Faroe Islands,Denmark,0.88,2.29,0 - 1,Faroe Islands,Denmark,3495263
2021-09-04,Israel,Austria,2.12,2.61,5 - 2,Israel,Austria,3495264
2021-09-04,Scotland,Moldova,2.49,0.24,1 - 0,Scotland,Moldova,3495265
2021-09-04,Latvia,Norway,0.09,3.07,0 - 2,Latvia,Norway,3495296
2021-09-04,Gibraltar,Türkiye,0.16,2.37,0 - 3,Gibraltar,Turkey,3495297
2021-09-04,Netherlands,Montenegro,2.71,0.4,4 - 0,Netherlands,Montenegro,3495298
2021-09-04,Slovakia,Croatia,1.64,0.72,0 - 1,Slovakia,Croatia,3495328
2021-09-05,Spain,Georgia,2.28,0.55,4 - 0,Spain,Georgia,3495177
2021-09-05,Switzerland,Italy,0.38,2.09,0 - 0,Switzerland,Italy,3495197
2021-09-05,Belarus,Wales,1.94,2.85,2 - 3,Belarus,Wales,3495236
2021-09-05,Belgium,Czechia,2.15,1.29,3 - 0,Belgium,Czech Republic,3495237
2021-09-05,England,Andorra,3.01,0.02,4 - 0,England,Andorra,3495357
2021-09-05,San Marino,Poland,0.39,5.48,1 - 7,San Marino,Poland,3495358
2021-09-05,Germany,Armenia,3.7,0.16,6 - 0,Germany,Armenia,3495387
2021-09-07,Azerbaijan,Portugal,0.31,2.85,0 - 3,Azerbaijan,Portugal,3495158
2021-09-07,Ireland,Serbia,0.35,1.95,1 - 1,Republic of Ireland,Serbia,3495159
2021-09-07,Bosnia and Herzegovina,Kazakhstan,3.01,0.98,2 - 2,Bosnia and Herzegovina,Kazakhstan,3495218
2021-09-07,France,Finland,1.35,0.41,2 - 0,France,Finland,3495219
2021-09-07,Austria,Scotland,1.29,1.3,0 - 1,Austria,Scotland,3495266
2021-09-07,Denmark,Israel,3.03,0.1,5 - 0,Denmark,Israel,3495267
2021-09-07,Netherlands,Türkiye,5.23,1.3,6 - 1,Netherlands,Turkey,3495300
2021-09-07,Norway,Gibraltar,6.14,0.43,5 - 1,Norway,Gibraltar,3495301
2021-09-07,Croatia,Slovenia,3.23,0.27,3 - 0,Croatia,Slovenia,3495329
2021-09-08,Greece,Sweden,2.47,2.17,2 - 1,Greece,Sweden,3495178
2021-09-08,Kosovo,Spain,0.69,1.58,0 - 2,Kosovo,Spain,3495179
2021-09-08,Northern Ireland,Switzerland,0.54,1.91,0 - 0,Northern Ireland,Switzerland,3495199
2021-09-08,Belarus,Belgium,0.15,0.65,0 - 1,Belarus,Belgium,3495238
2021-09-08,Wales,Estonia,1.89,0.22,0 - 0,Wales,Estonia,3495239
2021-09-08,Poland,England,1.0,0.56,1 - 1,Poland,England,3495361
2021-09-08,Iceland,Germany,0.2,3.31,0 - 4,Iceland,Germany,3495390
2021-10-06,Italy,Spain,1.56,2.25,1 - 2,Italy,Spain,3492720
2021-10-07,Belgium,France,0.6,2.39,2 - 3,Belgium,France,3492721
2021-10-08,Czechia,Wales,0.85,2.48,2 - 2,Czech Republic,Wales,3495240
2021-10-08,Latvia,Netherlands,0.76,2.38,0 - 1,Latvia,Netherlands,3495303
2021-10-08,Turkiye,Norway,1.0,1.4,1 - 1,Turkey,Norway,3495304
2021-10-08,Cyprus,Croatia,0.26,4.38,0 - 3,Cyprus,Croatia,3495332
2021-10-08,Germany,Romania,2.96,0.86,2 - 1,Germany,Romania,3495392
2021-10-09,Luxembourg,Serbia,0.67,1.71,0 - 1,Luxembourg,Serbia,3495161
2021-10-09,Sweden,Kosovo,2.65,0.56,3 - 0,Sweden,Kosovo,3495180
2021-10-09,Switzerland,Northern Ireland,4.42,0.08,2 - 0,Switzerland,Northern Ireland,3495201
2021-10-09,Kazakhstan,Bosnia and Herzegovina,0.24,2.3,0 - 2,Kazakhstan,Bosnia and Herzegovina,3495220
2021-10-09,Scotland,Israel,3.53,1.14,3 - 2,Scotland,Israel,3495269
2021-10-09,Faroe Islands,Austria,0.62,2.82,0 - 2,Faroe Islands,Austria,3495270
2021-10-09,Moldova,Denmark,0.0,3.37,0 - 4,Moldova,Denmark,3495271
2021-10-09,Andorra,England,0.03,4.16,0 - 5,Andorra,England,3495362
2021-10-09,Poland,San Marino,4.74,0.09,5 - 0,Poland,San Marino,3495364
2021-10-10,Italy,Belgium,1.59,1.63,2 - 1,Italy,Belgium,3492725
2021-10-10,Spain,France,0.8,1.07,1 - 2,Spain,France,3492724
2021-10-11,Belarus,Czechia,0.24,2.35,0 - 2,Belarus,Czech Republic,3495242
2021-10-11,Estonia,Wales,0.89,1.85,0 - 1,Estonia,Wales,3495243
2021-10-11,Latvia,Turkiye,0.33,2.07,1 - 2,Latvia,Turkey,3495305
2021-10-11,Netherlands,Gibraltar,6.13,0.06,6 - 0,Netherlands,Gibraltar,3495306
2021-10-11,Norway,Montenegro,0.98,0.31,2 - 0,Norway,Montenegro,3495307
2021-10-11,Croatia,Slovakia,2.86,0.97,2 - 2,Croatia,Slovakia,3495335
2021-10-11,North Macedonia,Germany,0.56,3.58,0 - 4,North Macedonia,Germany,3495396
2021-10-12,Portugal,Luxembourg,5.97,0.33,5 - 0,Portugal,Luxembourg,3495162
2021-10-12,Serbia,Azerbaijan,4.21,0.9,3 - 1,Serbia,Azerbaijan,3495163
2021-10-12,Sweden,Greece,1.54,0.54,2 - 0,Sweden,Greece,3495182
2021-10-12,Lithuania,Switzerland,0.59,2.42,0 - 4,Lithuania,Switzerland,3495203
2021-10-12,Ukraine,Bosnia and Herzegovina,1.47,1.09,1 - 1,Ukraine,Bosnia and Herzegovina,3495223
2021-10-12,Denmark,Austria,0.77,0.29,1 - 0,Denmark,Austria,3495272
2021-10-12,Faroe Islands,Scotland,1.17,1.29,0 - 1,Faroe Islands,Scotland,3495273
2021-10-12,Albania,Poland,0.2,0.59,0 - 1,Albania,Poland,3495365
2021-10-12,England,Hungary,2.32,1.06,1 - 1,England,Hungary,3495366
2021-11-11,Ireland,Portugal,0.63,0.56,0 - 0,Republic of Ireland,Portugal,3495165
2021-11-11,Georgia,Sweden,1.55,2.86,2 - 0,Georgia,Sweden,3495184
2021-11-11,Greece,Spain,0.18,1.57,0 - 1,Greece,Spain,3495185
2021-11-11,Malta,Croatia,0.07,3.65,1 - 7,Malta,Croatia,3495339
2021-11-11,Germany,Liechtenstein,7.6,0.08,9 - 0,Germany,Liechtenstein,3495399
2021-11-12,Italy,Switzerland,2.16,0.75,1 - 1,Italy,Switzerland,3495204
2021-11-12,Moldova,Scotland,1.25,2.11,0 - 2,Moldova,Scotland,3495277
2021-11-12,Austria,Israel,3.41,0.29,4 - 2,Austria,Israel,3495275
2021-11-12,Denmark,Faroe Islands,2.37,0.59,3 - 1,Denmark,Faroe Islands,3495276
2021-11-12,Andorra,Poland,0.17,3.06,1 - 4,Andorra,Poland,3495368
2021-11-12,England,Albania,2.59,0.39,5 - 0,England,Albania,3495369
2021-11-13,Bosnia and Herzegovina,Finland,2.46,2.38,1 - 3,Bosnia and Herzegovina,Finland,3495224
2021-11-13,France,Kazakhstan,4.38,0.17,8 - 0,France,Kazakhstan,3495225
2021-11-13,Belgium,Estonia,2.82,0.77,3 - 1,Belgium,Estonia,3495244
2021-11-13,Wales,Belarus,3.08,0.19,5 - 1,Wales,Belarus,3495245
2021-11-13,Norway,Latvia,2.43,0.35,0 - 0,Norway,Latvia,3495308
2021-11-13,Turkiye,Gibraltar,3.99,0.13,6 - 0,Turkey,Gibraltar,3495309
2021-11-13,Montenegro,Netherlands,1.04,1.84,2 - 2,Montenegro,Netherlands,3495310
2021-11-14,Portugal,Serbia,0.58,0.58,1 - 2,Portugal,Serbia,3495167
2021-11-14,Spain,Sweden,1.22,0.44,1 - 0,Spain,Sweden,3495187
2021-11-14,Croatia,Russia,1.74,0.06,1 - 0,Croatia,Russia,3495341
2021-11-14,Armenia,Germany,0.95,3.45,1 - 4,Armenia,Germany,3495401
2021-11-15,Switzerland,Bulgaria,2.27,0.03,4 - 0,Switzerland,Bulgaria,3495207
2021-11-15,Austria,Moldova,1.78,0.68,4 - 1,Austria,Moldova,3495278
2021-11-15,Scotland,Denmark,2.0,0.55,2 - 0,Scotland,Denmark,3495280
2021-11-15,Poland,Hungary,1.4,1.37,1 - 2,Poland,Hungary,3495372
2021-11-15,San Marino,England,0.07,5.85,0 - 10,San Marino,England,3495373
2021-11-16,Bosnia and Herzegovina,Ukraine,0.71,2.71,0 - 2,Bosnia and Herzegovina,Ukraine,3495226
2021-11-16,Finland,France,0.44,0.48,0 - 2,Finland,France,3495227
2021-11-16,Czechia,Estonia,2.36,0.67,2 - 0,Czech Republic,Estonia,3495246
2021-11-16,Wales,Belgium,0.42,1.04,1 - 1,Wales,Belgium,3495247
2021-11-16,Montenegro,Turkiye,0.94,1.92,1 - 2,Montenegro,Turkey,3495312
2021-11-16,Netherlands,Norway,1.91,0.08,2 - 0,Netherlands,Norway,3495313
2022-03-24,Portugal,Turkiye,3.72,1.78,3 - 1,Portugal,Turkey,3774163
2022-03-24,Sweden,Czechia,1.48,0.89,1 - 0,Sweden,Czech Republic,3774161
2022-03-24,Wales,Austria,1.2,1.05,2 - 1,Wales,Austria,3774159
2022-03-29,Poland,Sweden,1.96,1.31,2 - 0,Poland,Sweden,3774167
2022-03-29,Portugal,North Macedonia,1.85,0.09,2 - 0,Portugal,North Macedonia,3774168
2022-06-01,Scotland,Ukraine,1.29,2.51,1 - 3,Scotland,Ukraine,3774158
2022-06-01,Poland,Wales,1.4,0.94,2 - 1,Poland,Wales,3784577
2022-06-02,Czechia,Switzerland,1.25,2.51,2 - 1,Czech Republic,Switzerland,3784526
2022-06-02,Spain,Portugal,2.0,0.81,1 - 1,Spain,Portugal,3784527
2022-06-02,Serbia,Norway,1.42,1.3,0 - 1,Serbia,Norway,3784625
2022-06-02,Slovenia,Sweden,1.42,1.87,0 - 2,Slovenia,Sweden,3784626
2022-06-03,Croatia,Austria,1.27,1.94,0 - 3,Croatia,Austria,3784510
2022-06-03,France,Denmark,2.04,1.71,1 - 2,France,Denmark,3784511
2022-06-03,Belgium,Netherlands,1.27,2.5,1 - 4,Belgium,Netherlands,3784576
2022-06-04,Hungary,England,1.64,1.13,1 - 0,Hungary,England,3784552
2022-06-04,Italy,Germany,1.57,1.06,1 - 1,Italy,Germany,3784553
2022-06-04,Finland,Bosnia and Herzegovina,1.91,1.64,1 - 1,Finland,Bosnia and Herzegovina,3784600
2022-06-04,Türkiye,Faroe Islands,2.38,0.09,4 - 0,Turkey,Faroe Islands,3784541
2022-06-05,Wales,Ukraine,0.73,2.21,1 - 0,Wales,Ukraine,3774166
2022-06-05,Czechia,Spain,2.03,1.2,2 - 2,Czech Republic,Spain,3784528
2022-06-05,Portugal,Switzerland,3.55,0.22,4 - 0,Portugal,Switzerland,3784529
2022-06-05,Serbia,Slovenia,3.1,0.87,4 - 1,Serbia,Slovenia,3784627
2022-06-05,Sweden,Norway,0.78,2.89,1 - 2,Sweden,Norway,3784628
2022-06-06,Croatia,France,1.73,0.82,1 - 1,Croatia,France,3784513
2022-06-06,Austria,Denmark,1.8,1.2,1 - 2,Austria,Denmark,3784512
2022-06-07,Germany,England,0.71,1.96,1 - 1,Germany,England,3784554
